Convention_Agreement,IWC,FCHS,HSCOPC,RAMSAR,MPDWOM,WCNH,CITES,HSCMPS,MARPOL,CMS,UNCLOS,BCHW,CBD,FVHS,XI_UNCLOS,SFSHMFS,MPDW,CPB,SPOPs,HAFSS,SBWS,PSM,NPAGR
Sustainable management of living resources,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1
Sustainable management of unexploited species,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
Habitat management or protection,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Implement protected areas,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Precautionary principle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"Monitoring of species, habitats or environment",1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0
Environmental impact assessment,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0
Prevention of environmental pollution,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0
Biosecurity,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
Encourage or impel international cooperation,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Capacity building,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
