Habitat,Total,Wilderness,mpa_all,mpa_all_m,mpa_all_nt,mpa_coastal,mpa_coastal_m,mpa_coastal_nt,mpa_marine,mpa_marine_m,mpa_marine_nt
Cold Corals,11733,588,2848,1617,526,152,106,103,2726,1515,423
Coral Reefs,119828,2419,48427,9997,11625,7442,1086,112,42091,9008,11514
Estuaries,578099,41361,95755,32671,2909,75945,22099,2717,28017,12921,192
Kelp,22392,200,9448,5393,310,5860,2299,80,5479,3413,230
Mangroves,108240,115,28189,7253,1884,26838,6927,1801,2204,371,83
Ridges,10267570,2170809,1273103,610071,259314,42549,36459,39377,1236916,573612,219937
Saltmarshes,60911,743,12163,6734,79,11208,6383,53,2006,722,26
Seagrasses,270109,1480,64423,21572,5970,32836,13094,2082,38292,9719,3889
Seamounts guyots,7933106,647673,956968,362931,236583,28280,28235,28280,928733,334696,208303
Shelf valley canyons,17480807,7947548,1613372,1080957,773839,690713,585114,567793,995831,497309,206046
Trenches,1796225,38988,397621,149716,19485,0,0,0,397621,149716,19485
Hydrothermal vents,705,53,112,29,3,13,1,1,101,28,2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
